date,avg
2019-08,27.96
2019-09,28.01
2019-10,29.06
2019-11,28.24
2019-12,27.92
2020-01,27.24
2020-02,26.8
2020-03,29.15
2020-04,30.14
2020-05,30.73
2020-06,30.13
2020-07,29.91
2020-08,30.36
2020-09,29.34
2020-10,28.15
2020-11,28.12
2020-12,27.82
