toinc,ttotex
1606308,1708056
273820,278438
96300,75346
144737,239536
136122,115909
646260,682356
136069,116168
56106,49650
57875,77660
130474,79935
68657,71436
335098,316642
172405,198157
72820,84806
109883,100437
51210,48950
119960,110668
149700,140698
544170,421507
281201,235025
1796730,1284535
135124,141769
205266,193789
186550,189853
92556,87577
171251,102327
57769,55550
150384,148625
848240,789463
71852,70303
568492,507671
101922,101760
97470,89885
169410,162328
346780,293444
537600,451010
96151,92796
101700,96364
378401,275185
229075,207453
102715,106221
164841,163946
85745,86604
309092,287253
176883,173878
161185,86052
40226,37644
690190,565635
90844,77593
371698,121965
119461,113652
79040,90593
207993,216760
205627,205668
133779,206132
214563,260536
89888,97387
84693,75754
162774,76150
167506,159795
67502,83028
118228,165687
85420,84764
145195,147180
583168,438310
131810,160399
390226,294409
99078,87512
131780,88914
276776,282514
175800,180006
108313,103547
195240,171533
123955,103913
118920,121089
203275,166729
177839,260825
52479,47836
125948,72046
400862,367197
113693,87998
80541,72176
78238,70629
196975,199514
176410,190467
654500,340265
445855,430523
152360,152682
567050,384699
320311,292336
598948,470543
236626,241927
129798,118482
110290,94713
155173,166842
191806,234021
106268,121779
27795,31747
177473,216579
153353,153731
107023,108092
63064,77042
54640,45421
48905,55420
113531,122505
122720,117959
50065,57339
46709,53838
14691,13620
108395,117848
111439,99831
58798,66022
83747,80651
77740,66615
54381,67028
167412,128636
68465,78407
72861,72869
52245,54172
23855,28802
101256,102529
30294,33255
20688,23798
37078,37648
204550,204572
121627,121489
96612,98472
146828,151200
85551,105482
119894,126230
407053,390371
62435,54384
185577,187364
59604,61086
120596,118786
83193,83913
77651,75768
72210,68597
66352,72287
59672,60364
68125,67164
140611,99672
98965,101502
73224,77943
101802,88734
57553,66680
136527,108111
199545,183471
362818,307830
81712,97454
124676,107484
39732,33349
71375,76440
44202,55390
82184,80123
73674,76001
140115,88084
137855,121749
139238,91089
128552,92993
420920,281311
150360,126334
632120,427414
201280,135241
197287,160340
387164,278952
103880,78505
165906,116511
295600,131540
66252,32785
93020,50330
121390,89438
642630,550548
154990,114295
112128,86403
228063,266448
177157,137587
136980,165341
267630,289879
150096,128827
179509,169513
625096,525776
119103,112847
127471,143900
102080,121317
381970,385522
84976,95208
410000,314201
19581,22054
161279,166399
122469,164471
113292,118204
76052,81499
61470,58659
1280422,751706
49700,49359
111338,98928
103064,111032
134358,102454
37902,40777
44184,51070
48255,49447
64455,69447
51074,59366
40649,43266
96956,97226
76460,75638
42806,47523
148742,148421
146786,158083
183827,173347
580160,449484
270835,222572
149640,165510
255060,216106
143552,148792
269001,287279
447170,102381
117837,119710
121962,99682
542660,606954
285520,280224
58329,51324
242172,284053
455683,375036
55080,59253
119115,118036
80704,84911
128718,131200
169182,224023
116316,129277
164939,179188
125877,112879
35384,29030
493311,481926
187533,232618
140501,140304
457006,439700
303063,378852
114198,108891
188066,183486
132104,105864
95469,96031
174591,93064
72510,63002
128763,114206
193723,188042
95261,97195
78840,82380
269913,266765
44415,45823
159040,121028
132632,132857
149776,155354
177908,175367
140474,134113
194956,191956
142113,144931
30292,37856
433096,347328
23209,23680
257832,319923
321310,387385
69835,70320
71533,81787
128523,188473
32145,32737
76779,148691
112140,123029
78132,125183
119880,141373
234880,276920
71260,45199
700542,820298
122779,129148
206545,144314
2572904,573162
183299,120950
709057,736663
157518,113176
97670,78753
348130,214103
111856,111553
115752,99899
115635,114010
70276,69395
84044,75337
117453,113870
296776,322960
102895,86792
145026,129319
164417,132935
32456,33667
142039,116892
177079,139774
27032,31293
66723,69360
212613,132938
143433,132780
178755,169573
170549,171235
106187,136987
305760,285349
144754,180098
182180,206494
551113,415833
470266,348048
118926,104765
170326,187736
127481,155707
126558,127159
89364,91051
92381,88102
50194,55224
137490,147489
60212,77108
35790,37345
23973,25718
619553,301403
81129,95066
259540,138621
77132,91299
76256,69731
138866,106339
110203,116981
32587,34593
40922,36231
101605,77107
96801,97898
156331,140313
172023,133605
233160,196320
89809,109272
212164,229399
117807,115674
216999,198931
139936,110563
81006,79290
48397,46707
88740,80247
75012,108278
47686,38026
235347,245646
146450,168738
277002,211088
634643,398552
781605,480465
142184,158390
53537,53431
87082,77620
222985,157999
91722,82333
124504,108699
373733,239006
126550,121820
130352,138165
508366,260749
69189,63983
117166,134885
92564,87025
83936,91992
60609,64674
49855,58650
112662,110797
153619,141152
63195,72273
98855,87612
133500,130546
89682,98383
203542,156392
158596,155479
124648,120886
77141,86646
76683,90786
120766,170952
55488,65131
403672,260302
92919,119247
113587,95340
350394,152022
124236,187203
103409,130267
60429,64046
58073,78362
165293,166520
88795,114594
56785,75179
120109,110116
250708,194233
64268,74112
70109,68909
117308,97931
132435,154815
39430,63565
56847,80793
138640,175049
86347,101992
73210,70882
63205,68018
67172,58433
125030,116865
73333,99470
77379,90211
345612,268475
87704,100780
44135,46269
60399,79348
173128,126048
92171,80916
87817,111742
82639,79109
656099,499617
126269,79880
111535,97997
191681,151333
388172,220460
80955,85069
125482,124908
1114504,920656
425927,280791
92555,98905
1026150,657724
409990,354823
402466,319727
518318,427318
73245,74770
239675,100203
294250,184667
217102,165788
87229,78967
138895,114181
110604,81185
56557,52172
164218,145592
99178,69275
149967,79770
42691,40475
111945,106518
83216,87622
148414,178393
116292,110765
94735,84703
381169,366085
222868,162475
98302,54007
143419,101450
88286,99596
109223,146306
206700,118975
56481,77420
138570,135867
184244,181968
110090,129645
840250,545711
119264,117103
110475,120937
198952,235340
60909,52331
42895,50953
57045,61030
95775,92353
114340,83222
94514,108517
81167,73043
131870,134704
120629,105688
124565,85145
611276,469819
574750,490980
166743,181188
134112,96050
101937,78239
82500,62816
92889,102055
675258,363943
159658,139125
105320,86492
748309,408984
77994,86143
78623,78823
286218,171188
132925,177311
904374,470269
94245,124513
99834,103398
129307,129323
267645,329129
312586,284802
96583,118046
164886,163630
558530,353734
78925,98790
125206,87319
115035,118756
203601,103455
73019,71404
262640,163555
91505,67423
77822,70860
132748,107924
291140,277812
189765,141013
137996,118663
140238,161879
112652,105173
88557,89128
142078,118311
104175,105943
89685,91114
247561,150332
94965,79546
106750,95109
136237,134957
74732,59110
146018,155488
86052,75805
133970,135540
109232,108181
303993,314976
162456,108600
519298,348477
370425,265111
406927,315700
108530,104395
201006,176521
103915,117808
95042,102953
116078,102280
105900,91871
150883,86774
131448,101746
464773,371192
118258,124137
175665,112905
197202,168976
185265,151845
244918,213440
78152,89707
203282,146448
168965,198862
101840,87900
177969,123663
67120,68781
120711,112690
95800,83691
87752,64460
419748,256604
68420,53209
117780,85972
173355,104379
143052,81802
118913,104587
139615,127713
141309,138297
122910,98280
159090,145119
176650,169821
100977,105706
84460,68616
89929,82081
156607,159386
161886,164543
143785,150694
1366996,1243164
82945,102763
31345,27383
204867,166619
250350,208529
92667,98353
303040,195518
38018,29888
76420,76532
28275,25558
123515,140146
159694,157402
112600,148543
136145,103313
423942,304560
94135,84340
168750,102210
684496,619687
146930,124022
72375,85012
67160,52670
135323,139620
107610,92439
